Capture,Catch
Catalyst,Substance That Leads To Chemical Reaction Increase
Cache,Collection Of Similar Items
Censorious,Critical Of Others
Clout,Smack
Coincide,Occur
Commission,An Offer
Comparable,Similar
Competent,Capable
Complacent,Self-satisfied
Concede,Admit
Conceive,To Produce Something
Conduct,Manage
Constitute,Compose
Course,Route
Culmination,Climax
Dearth,Lack
Deference,Respect
Demagogue,Rabble-rouser
Demur,To Object To
Deplete,Use Over Time
Desolate,Empty
Devise,To Come Up With
Dilemma,Confusion
Diluvial,Biblical Flood
Diminish,To Become Small
Dire,Hopeless
Disdain,Lack Of Respect
Dispassionate,No Strong Interest
Doctrine,Belief
Effluvia,Harmful Odor
Eloquent,Expressive Communication Skills
Eminent,High Position
Emulate,Match
